Eye Probability,Eye State,Mouth Probability,Mouth State,Fatigue Stage,Fatigue Level
0.001949633238837123,Closed,0.13248175382614136,No Yawn,2,Severe Fatigue
0.00036972371162846684,Closed,0.14983801543712616,No Yawn,2,Severe Fatigue
1.120691104006255e-05,Closed,0.3685305714607239,No Yawn,2,Severe Fatigue
8.74682064022636e-06,Closed,0.2588847577571869,No Yawn,2,Severe Fatigue
0.00010947465489152819,Closed,0.24552813172340393,No Yawn,2,Severe Fatigue
0.000971407163888216,Closed,0.27023759484291077,No Yawn,2,Severe Fatigue
0.009247099049389362,Closed,0.14374244213104248,No Yawn,2,Severe Fatigue
0.0006816263194195926,Closed,0.21262061595916748,No Yawn,2,Severe Fatigue
0.04349282383918762,Closed,0.1565195620059967,No Yawn,2,Severe Fatigue
7.816631841706112e-05,Closed,0.25218841433525085,No Yawn,2,Severe Fatigue
0.5915154814720154,Open,0.18899452686309814,No Yawn,0,Alert
0.00600298959761858,Closed,0.6426862478256226,Yawn,2,Severe Fatigue
0.0002653198316693306,Closed,0.4573913812637329,No Yawn,2,Severe Fatigue
0.0008948321919888258,Closed,0.2699257433414459,No Yawn,2,Severe Fatigue
2.170666994061321e-05,Closed,0.3504122793674469,No Yawn,2,Severe Fatigue
4.646421984944027e-06,Closed,0.241662859916687,No Yawn,2,Severe Fatigue
0.00027742565725930035,Closed,0.44651415944099426,No Yawn,2,Severe Fatigue
0.10037524998188019,Closed,0.06816701591014862,No Yawn,2,Severe Fatigue
0.0017563985893502831,Closed,0.10846657305955887,No Yawn,2,Severe Fatigue
0.00024627018137834966,Closed,0.11967211961746216,No Yawn,2,Severe Fatigue
2.719855729083065e-06,Closed,0.10588998347520828,No Yawn,2,Severe Fatigue
0.002247103024274111,Closed,0.11306817829608917,No Yawn,2,Severe Fatigue
0.0015327346045523882,Closed,0.4398702383041382,No Yawn,2,Severe Fatigue
3.218558049411513e-05,Closed,0.33196547627449036,No Yawn,2,Severe Fatigue
0.001956573687493801,Closed,0.18132460117340088,No Yawn,2,Severe Fatigue
0.0034717328380793333,Closed,0.2384522706270218,No Yawn,2,Severe Fatigue
0.00013085910177323967,Closed,0.2139872908592224,No Yawn,2,Severe Fatigue
0.00029647955670952797,Closed,0.20931077003479004,No Yawn,2,Severe Fatigue
0.0009049626532942057,Closed,0.3256066143512726,No Yawn,2,Severe Fatigue
0.00048379070358350873,Closed,0.20870918035507202,No Yawn,2,Severe Fatigue
0.0008612308884039521,Closed,0.24362169206142426,No Yawn,2,Severe Fatigue
0.0005601461743935943,Closed,0.41555699706077576,No Yawn,2,Severe Fatigue
0.0013653718633577228,Closed,0.6227577328681946,Yawn,2,Severe Fatigue
0.00024382957781199366,Closed,0.6704979538917542,Yawn,2,Severe Fatigue
0.0028666844591498375,Closed,0.14388254284858704,No Yawn,2,Severe Fatigue
0.00019262838759459555,Closed,0.08812079578638077,No Yawn,2,Severe Fatigue
0.00028969868435524404,Closed,0.44097912311553955,No Yawn,2,Severe Fatigue
0.0007982494425959885,Closed,0.1964532881975174,No Yawn,2,Severe Fatigue
